iSE_pos0_x,iSE_pos0_y,iSE_pos1_x,iSE_pos1_y,iSE_pos2_x,iSE_pos2_y,iSE_pos3_x,iSE_pos3_y,iSE_pos4_x,iSE_pos4_y,Goal_pos0_x,Goal_pos0_y,Goal_pos1_x,Goal_pos1_y,Goal_pos2_x,Goal_pos2_y,Goal_pos3_x,Goal_pos3_y,Goal_pos4_x,Goal_pos4_y,Goal_goal_x,Goal_goal_y
2.702218,2.087129,2.669036,2.119818,2.597153,2.189793,2.499116,2.253924,0.038363,-0.008286,1.105403,1.207718,1.128746,1.222445,1.139565,1.228026,1.138527,1.224927,-0.167877,-0.178231,1.606134,1.088459
2.534660,2.646386,2.582900,2.466648,2.605484,2.321961,2.566722,2.286585,0.038138,-0.007568,1.002103,1.695169,1.045662,1.665593,1.075454,1.630894,1.092157,1.591376,-0.167493,-0.181173,1.625325,0.941374
2.755260,2.554321,2.700663,2.519614,2.671323,2.399122,2.647828,2.289624,0.038444,-0.007802,1.226907,1.647761,1.255868,1.630959,1.272759,1.608131,1.278172,1.579601,-0.169152,-0.180753,1.542409,0.962354
2.884772,2.395187,2.814500,2.459725,2.732219,2.469225,2.686436,2.374988,0.038551,-0.007973,1.373549,1.565047,1.396303,1.563927,1.407913,1.555713,1.408914,1.540748,-0.170275,-0.180197,1.486234,0.990155
2.987357,2.623464,2.935187,2.573204,2.841355,2.554555,2.745083,2.514649,0.038640,-0.007659,1.521568,1.790216,1.538141,1.773879,1.544446,1.751888,1.540966,1.724528,-0.171381,-0.181600,1.430940,0.919999
3.245002,2.106157,3.150354,2.243671,3.022019,2.370880,2.882953,2.457631,0.038921,-0.008313,1.821461,1.344034,1.817478,1.377311,1.805168,1.401276,1.784932,1.416319,-0.173392,-0.178794,1.330405,1.060283
2.789777,2.148291,2.907749,2.190602,2.970686,2.288658,2.935939,2.392433,0.038352,-0.008171,1.508851,1.348031,1.542404,1.386610,1.565046,1.415825,1.577243,1.436051,-0.171477,-0.179086,1.426145,1.045676
3.068966,2.503506,3.026464,2.392152,3.033847,2.320522,3.031106,2.350909,0.038743,-0.007769,1.786500,1.605034,1.801868,1.625372,1.808069,1.638062,1.805496,1.643410,-0.173505,-0.181006,1.324764,0.949719
3.178955,2.797804,3.110619,2.662650,3.048656,2.476941,3.044481,2.361152,0.038810,-0.007512,1.906354,1.860148,1.918282,1.862995,1.921606,1.859755,1.916686,1.850676,-0.174423,-0.182804,1.278837,0.859818
2.894198,3.173792,2.969417,3.020099,2.998977,2.781088,2.995153,2.533701,0.038478,-0.007160,1.712037,2.249252,1.748191,2.223375,1.774284,2.193693,1.790705,2.160375,-0.173314,-0.185351,1.334301,0.732443
3.089371,3.104127,3.065595,3.083889,3.060740,2.972197,3.042747,2.758129,0.038744,-0.007299,1.899342,2.308744,1.925748,2.283596,1.943136,2.254703,1.951852,2.222229,-0.174821,-0.185593,1.258962,0.720336
3.249585,2.766747,3.180636,2.876313,3.114224,2.962502,3.084049,2.914014,0.038883,-0.007646,2.052167,2.129642,2.071947,2.125376,2.083483,2.116024,2.087083,2.101781,-0.176043,-0.184295,1.197845,0.785264
3.502594,2.802918,3.397408,2.820919,3.259403,2.905178,3.151981,2.976339,0.039103,-0.007565,2.305879,2.190334,2.310736,2.186209,2.308650,2.177160,2.299881,2.163366,-0.177881,-0.184697,1.105953,0.765160
3.446960,3.145239,3.436331,3.021340,3.362098,2.937308,3.242476,2.960975,0.039006,-0.007245,2.341479,2.471920,2.349639,2.449795,2.350861,2.424119,2.345395,2.395030,-0.178193,-0.186546,1.090355,0.672676
3.478278,2.993237,3.473977,3.000785,3.450728,2.944364,3.369001,2.900403,0.039045,-0.007453,2.442610,2.394329,2.448593,2.383608,2.448011,2.368691,2.441093,2.349726,-0.178958,-0.185915,1.052083,0.704230
3.500320,3.148853,3.487121,3.122348,3.478689,3.069587,3.452987,2.977352,0.039058,-0.007271,2.517828,2.565596,2.523650,2.546185,2.523130,2.523278,2.516485,2.497001,-0.179538,-0.187003,1.023076,0.649873
